rank,overall_score,name,location,academic_reputation,citations_per_faculty,faculty_student_ratio,employer_reputation,employment_outcomes,international_student_ratio,international_research_network,international_faculty_ratio,international_student_diversity,sustainability_score
1001-1200,null,Pontifícia Universidade Católica de São Paulo,Brazil,13.2,1.7,48.8,21.2,44.1,1.5,2.9,5.2,5.9,14.9
1001-1200,null,Universidade Federal de São Carlos,Brazil,15,28.8,20.3,10.8,1.8,2.5,47.1,3.4,2.1,41.3
1001-1200,null,Universidade Federal do Paraná,Brazil,19.4,9.8,25.7,8.7,18,11.2,55.4,3.9,8.5,40
108,67.3,Universidade de São Paulo,Brazil,97.3,40.3,30.5,81,98.8,3.5,95.3,9.2,8.5,89
1201-1400,null,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,8.7,19.9,18.4,6,11.7,2.2,19.8,3.2,6.6,28.5
1201-1400,null,Universidade do Estado do Rio de Janeiro,Brazil,13.2,4,22.6,6.5,22.6,1.4,48,4.8,1.3,31.8
1201-1400,null,Universidade Federal da Bahia,Brazil,13.5,5.7,11.8,5,20.6,2,48.7,6.9,1.8,41.4
1201-1400,null,Universidade Federal de Pernambuco,Brazil,16,7.6,20.3,4.4,6.8,1.4,58.3,4.8,5.9,36.1
1201-1400,null,Universidade Federal de Santa Maria,Brazil,7,9.9,25,2.2,8.4,2.1,52.5,2.9,6.5,55.7
1201-1400,null,Universidade Federal de Viçosa,Brazil,6.8,16.2,17.4,4.3,5.7,3.7,26.5,3.4,8.1,49.6
1201-1400,null,Universidade Federal do Ceará,Brazil,11.3,10.1,7.9,4.8,8,1.7,41.7,1.5,6.1,36.2
1201-1400,null,Universidade Federal Fluminense,Brazil,12.5,6.4,17.4,3.1,17.6,1.3,57,8.8,5.8,55.7
1201-1400,null,Universidade Presbiteriana Mackenzie,Brazil,5.8,3.8,19.5,12.6,56.4,1.1,13.8,2.3,5.6,18.1
1401+,null,Universidade Federal de Uberlândia,Brazil,5.4,6,21,2.6,3,1.8,32.8,2.4,6.2,42.5
1401+,null,Universidade Federal do Rio Grande do Norte,Brazil,6.7,7,10.8,1.6,1.4,1.3,50.1,null,5.8,31.3
233,52.1,Universidade Estadual de Campinas,Brazil,81.7,37.2,22.1,50.9,32.5,4,84.5,15.1,8.7,79.5
317,43.9,Universidade Federal do Rio de Janeiro,Brazil,73,13.8,18.2,36.2,89.9,2.3,81,10.3,6.5,70.9
450,34.3,UNESP,Brazil,53.3,22.2,20.1,36.8,1.6,5.3,73.6,7.4,10.1,58.5
571,29.2,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,42.5,14.6,17.2,23.5,73.4,2.6,46.1,16.1,7.1,51.3
595,28.4,Universidade Federal de Minas Gerais,Brazil,45.4,11.8,21.1,16.9,50.9,2.5,67.6,9,7,48.2
691,25.4,Universidade Federal do Rio Grande do Sul,Brazil,36.8,15.7,20,9.2,32.3,2.4,80.5,3.8,7,63.9
801-850,null,Universidade de Brasília,Brazil,34.8,8.3,9,10.8,36.3,2.1,63.7,12.8,6.7,66.6
801-850,null,Universidade Federal de Santa Catarina,Brazil,26.1,15.8,25.2,8.3,23.7,4,64.4,5.9,8.7,65.2
801-850,null,Universidade Federal de São Paulo,Brazil,14.1,10.4,97.9,8.8,3.6,2.2,49.5,6.1,6.7,61.8
